Assume 16-bit values.				
				
Hexadecimal	Unsigned Decimal	Signed Decimal	Octal	Binary
3CC7	15559	-	-	0011 1100 1100 0111
FFC4	65476	-60	-	1111 1111 1100 0100
0174	-	372	000564	-
0104	260	260	-	-
F1E8	-	-3608	170750	1111 0001 1110 1000
1711	5905	-	013421	0001 0111 0001 0001
0035	53	-	000065	-
FFFE	65534	-2	177776	1111 1111 1111 1110
006B	107	-	000153	-
-	717	717	001315	-
-	28662	28662	-	0110 1111 1111 0110
				
Assume 16-bit arithmetic.				
				
	Saturated Sum	Modular Sum	Carry? (y/n)	Overflow? (y/n)
815A + 58D8	DA32	DA32	n	n
16DA + E783	FE5D	FE5D	n	n
010E + FFFE	010C	010C	y	n
87DC + 983F	8000	201B	y	y
079D + 10D0	186D	186D	n	n
8621 + C78A	8000	4DAB	y	y
03E1 + 00E1	04C2	04C2	n	n
0003 + 0007	000A	000A	n	n
