Assume 16-bit values.				
				
Hexadecimal	Unsigned Decimal	Signed Decimal	Octal	Binary
64	100	-	144	-
FD	253	253	-	-
41D0	16848	-	-	0100 0001 1101 0000
FFC2	65474	-62	-	1111 1111 1100 0010
FFFC	65532	-4	177774	1111 1111 1111 1100
F342	-	-3262	171502	1111 0011 0100 0010
06A6	1702	-	3246	0000 0110 1010 0110
01D5	469	469	-	-
336	822	822	-	-
-	33931	-31605	-	1000 0100 1000 1011
3A	58	-	72	-
				
Assume 16-bit arithmetic.				
				
	Saturated Sum	Modular Sum	Carry? (y/n)	Overflow? (y/n)
F7DC + 24DC	1CB8	1CB8	Y	N
7A14 + 5D12	7FFF	D726	N	Y
0122 + FFFB	011D	011D	Y	N
0885 + 1118	199D	199D	N	N
0007 + 0009	0010	0010	N	N
6BA6 + 992D	04D3	04D3	Y	N
03BB + 0101	04BC	04BC	N	N
B1EB + C42B	8000	7616	Y	Y
